endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-3,0,Structure Pinched,0,0,Structure and void connected,-3,100,Void Pinched
-2.96984924623116,0.038775,Structure Pinched,0.0150753768844221,0.63075,Structure and void connected,-2.96984924623116,99.961225,Void Pinched
-2.93969849246231,0.108675,Structure Pinched,0.0301507537688442,1.2558,Structure and void connected,-2.93969849246231,99.891325,Void Pinched
-2.90954773869347,0.1977,Structure Pinched,0.0452261306532663,1.88265,Structure and void connected,-2.90954773869347,99.8023,Void Pinched
-2.87939698492462,0.302025,Structure Pinched,0.0603015075376884,2.51475,Structure and void connected,-2.87939698492462,99.697975,Void Pinched
-2.84924623115578,0.42375,Structure Pinched,0.0753768844221105,3.149025,Structure and void connected,-2.84924623115578,99.57625,Void Pinched
-2.81909547738693,0.55995,Structure Pinched,0.0904522613065327,3.773475,Structure and void connected,-2.81909547738693,99.44005,Void Pinched
-2.78894472361809,0.707475,Structure Pinched,0.105527638190955,4.4061,Structure and void connected,-2.78894472361809,99.292525,Void Pinched
-2.75879396984925,0.8688,Structure Pinched,0.120603015075377,5.031975,Structure and void connected,-2.75879396984925,99.1312,Void Pinched
-2.7286432160804,1.041975,Structure Pinched,0.135678391959799,5.6649,Structure and void connected,-2.7286432160804,98.958025,Void Pinched
-2.69849246231156,1.22715,Structure Pinched,0.150753768844221,6.292875,Structure and void connected,-2.69849246231156,98.77285,Void Pinched
-2.66834170854271,1.426875,Structure Pinched,0.165829145728643,6.91935,Structure and void connected,-2.66834170854271,98.573125,Void Pinched
-2.63819095477387,1.63575,Structure Pinched,0.180904522613065,7.55115,Structure and void connected,-2.63819095477387,98.36425,Void Pinched
-2.60804020100502,1.8564,Structure Pinched,0.195979899497487,8.17725,Structure and void connected,-2.60804020100502,98.1436,Void Pinched
-2.57788944723618,2.089725,Structure Pinched,0.21105527638191,8.811,Structure and void connected,-2.57788944723618,97.910275,Void Pinched
-2.54773869346734,2.334675,Structure Pinched,0.226130653266332,9.438375,Structure and void connected,-2.54773869346734,97.665325,Void Pinched
-2.51758793969849,2.593875,Structure Pinched,0.241206030150754,10.06935,Structure and void connected,-2.51758793969849,97.406125,Void Pinched
-2.48743718592965,2.863575,Structure Pinched,0.256281407035176,10.698525,Structure and void connected,-2.48743718592965,97.136425,Void Pinched
-2.4572864321608,3.1458,Structure Pinched,0.271356783919598,11.329875,Structure and void connected,-2.4572864321608,96.8542,Void Pinched
-2.42713567839196,3.444225,Structure Pinched,0.28643216080402,11.96115,Structure and void connected,-2.42713567839196,96.555775,Void Pinched
-2.39698492462312,3.7524,Structure Pinched,0.301507537688442,12.58815,Structure and void connected,-2.39698492462312,96.2476,Void Pinched
-2.36683417085427,4.078275,Structure Pinched,0.316582914572864,13.22235,Structure and void connected,-2.36683417085427,95.921725,Void Pinched
-2.33668341708543,4.41345,Structure Pinched,0.331658291457286,13.853175,Structure and void connected,-2.33668341708543,95.58655,Void Pinched
-2.30653266331658,4.7688,Structure Pinched,0.346733668341709,14.482125,Structure and void connected,-2.30653266331658,95.2312,Void Pinched
-2.27638190954774,5.140275,Structure Pinched,0.361809045226131,15.110925,Structure and void connected,-2.27638190954774,94.859725,Void Pinched
-2.24623115577889,5.52645,Structure Pinched,0.376884422110553,15.74445,Structure and void connected,-2.24623115577889,94.47355,Void Pinched
-2.21608040201005,5.9328,Structure Pinched,0.391959798994975,16.380975,Structure and void connected,-2.21608040201005,94.0672,Void Pinched
-2.18592964824121,6.35955,Structure Pinched,0.407035175879397,17.00955,Structure and void connected,-2.18592964824121,93.64045,Void Pinched
-2.15577889447236,6.8037,Structure Pinched,0.422110552763819,17.63445,Structure and void connected,-2.15577889447236,93.1963,Void Pinched
-2.12562814070352,7.279575,Structure Pinched,0.437185929648241,18.275625,Structure and void connected,-2.12562814070352,92.720425,Void Pinched
-2.09547738693467,7.789275,Structure Pinched,0.452261306532663,18.9063,Structure and void connected,-2.09547738693467,92.210725,Void Pinched
-2.06532663316583,8.342925,Structure Pinched,0.467336683417085,19.53375,Structure and void connected,-2.06532663316583,91.657075,Void Pinched
-2.03517587939698,8.962725,Structure and void connected,0.482412060301508,20.159775,Structure and void connected,-2.03517587939698,91.037275,Structure and void connected
-2.00502512562814,9.5841,Structure and void connected,0.49748743718593,20.81115,Structure and void connected,-2.00502512562814,90.4159,Structure and void connected
-1.9748743718593,10.204575,Structure and void connected,0.512562814070352,21.441525,Structure and void connected,-1.9748743718593,89.795425,Structure and void connected
-1.94472361809045,10.821375,Structure and void connected,0.527638190954774,22.064475,Structure and void connected,-1.94472361809045,89.178625,Structure and void connected
-1.91457286432161,11.44335,Structure and void connected,0.542713567839196,22.698825,Structure and void connected,-1.91457286432161,88.55665,Structure and void connected
-1.88442211055276,12.058275,Structure and void connected,0.557788944723618,23.345175,Structure and void connected,-1.88442211055276,87.941725,Structure and void connected
-1.85427135678392,12.67575,Structure and void connected,0.57286432160804,23.976075,Structure and void connected,-1.85427135678392,87.32425,Structure and void connected
-1.82412060301508,13.296075,Structure and void connected,0.587939698492462,24.60375,Structure and void connected,-1.82412060301508,86.703925,Structure and void connected
-1.79396984924623,13.9131,Structure and void connected,0.603015075376884,25.24065,Structure and void connected,-1.79396984924623,86.0869,Structure and void connected
-1.76381909547739,14.5296,Structure and void connected,0.618090452261307,25.885875,Structure and void connected,-1.76381909547739,85.4704,Structure and void connected
-1.73366834170854,15.14445,Structure and void connected,0.633165829145729,26.5143,Structure and void connected,-1.73366834170854,84.85555,Structure and void connected
-1.7035175879397,15.75765,Structure and void connected,0.648241206030151,27.1485,Structure and void connected,-1.7035175879397,84.24235,Structure and void connected
-1.67336683417085,16.37205,Structure and void connected,0.663316582914573,27.790425,Structure and void connected,-1.67336683417085,83.62795,Structure and void connected
-1.64321608040201,16.984275,Structure and void connected,0.678391959798995,28.431975,Structure and void connected,-1.64321608040201,83.015725,Structure and void connected
-1.61306532663317,17.60295,Structure and void connected,0.693467336683417,29.060925,Structure and void connected,-1.61306532663317,82.39705,Structure and void connected
-1.58291457286432,18.2115,Structure and void connected,0.708542713567839,29.69055,Structure and void connected,-1.58291457286432,81.7885,Structure and void connected
-1.55276381909548,18.824025,Structure and void connected,0.723618090452261,30.349125,Structure and void connected,-1.55276381909548,81.175975,Structure and void connected
-1.52261306532663,19.43595,Structure and void connected,0.738693467336683,30.975675,Structure and void connected,-1.52261306532663,80.56405,Structure and void connected
-1.49246231155779,20.05035,Structure and void connected,0.753768844221106,31.61235,Structure and void connected,-1.49246231155779,79.94965,Structure and void connected
-1.46231155778894,20.663025,Structure and void connected,0.768844221105528,32.27235,Structure and void connected,-1.46231155778894,79.336975,Structure and void connected
-1.4321608040201,21.271125,Structure and void connected,0.78391959798995,32.892975,Structure and void connected,-1.4321608040201,78.728875,Structure and void connected
-1.40201005025126,21.88335,Structure and void connected,0.798994974874372,33.531825,Structure and void connected,-1.40201005025126,78.11665,Structure and void connected
-1.37185929648241,22.49655,Structure and void connected,0.814070351758794,34.181025,Structure and void connected,-1.37185929648241,77.50345,Structure and void connected
-1.34170854271357,23.11035,Structure and void connected,0.829145728643216,34.825875,Structure and void connected,-1.34170854271357,76.88965,Structure and void connected
