endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-1.414,8.75e-05,Structure Pinched,0,0.0003875,Structure and void connected,-1.414,99.9999125,Void Pinched
-1.39978894472362,0.0390625,Structure Pinched,0.00710552763819095,0.582925,Structure and void connected,-1.39978894472362,99.9609375,Void Pinched
-1.38557788944724,0.1095,Structure Pinched,0.0142110552763819,1.139575,Structure and void connected,-1.38557788944724,99.8905,Void Pinched
-1.37136683417085,0.2026125,Structure Pinched,0.0213165829145729,1.745425,Structure and void connected,-1.37136683417085,99.7973875,Void Pinched
-1.35715577889447,0.3134625,Structure Pinched,0.0284221105527638,2.305825,Structure and void connected,-1.35715577889447,99.6865375,Void Pinched
-1.34294472361809,0.4399125,Structure Pinched,0.0355276381909548,2.9077,Structure and void connected,-1.34294472361809,99.5600875,Void Pinched
-1.32873366834171,0.5827,Structure Pinched,0.0426331658291457,3.46705,Structure and void connected,-1.32873366834171,99.4173,Void Pinched
-1.31452261306533,0.7390625,Structure Pinched,0.0497386934673367,4.07345,Structure and void connected,-1.31452261306533,99.2609375,Void Pinched
-1.30031155778894,0.9105125,Structure Pinched,0.0568442211055276,4.627925,Structure and void connected,-1.30031155778894,99.0894875,Void Pinched
-1.28610050251256,1.0931875,Structure Pinched,0.0639497487437186,5.2391,Structure and void connected,-1.28610050251256,98.9068125,Void Pinched
-1.27188944723618,1.2909125,Structure Pinched,0.0710552763819095,5.793575,Structure and void connected,-1.27188944723618,98.7090875,Void Pinched
-1.2576783919598,1.5010125,Structure Pinched,0.0781608040201005,6.362675,Structure and void connected,-1.2576783919598,98.4989875,Void Pinched
-1.24346733668342,1.7236,Structure Pinched,0.0852663316582915,6.961325,Structure and void connected,-1.24346733668342,98.2764,Void Pinched
-1.22925628140704,1.9580625,Structure Pinched,0.0923718592964824,7.522175,Structure and void connected,-1.22925628140704,98.0419375,Void Pinched
-1.21504522613065,2.207175,Structure Pinched,0.0994773869346734,8.127525,Structure and void connected,-1.21504522613065,97.792825,Void Pinched
-1.20083417085427,2.4678625,Structure Pinched,0.106582914572864,8.681775,Structure and void connected,-1.20083417085427,97.5321375,Void Pinched
-1.18662311557789,2.743575,Structure Pinched,0.113688442211055,9.292275,Structure and void connected,-1.18662311557789,97.256425,Void Pinched
-1.17241206030151,3.03265,Structure Pinched,0.120793969849246,9.845925,Structure and void connected,-1.17241206030151,96.96735,Void Pinched
-1.15820100502513,3.3348375,Structure Pinched,0.127899497487437,10.4568,Structure and void connected,-1.15820100502513,96.6651625,Void Pinched
-1.14398994974874,3.652075,Structure Pinched,0.135005025125628,11.013,Structure and void connected,-1.14398994974874,96.347925,Void Pinched
-1.12977889447236,3.985575,Structure Pinched,0.142110552763819,11.62525,Structure and void connected,-1.12977889447236,96.014425,Void Pinched
-1.11556783919598,4.33155,Structure Pinched,0.14921608040201,12.17755,Structure and void connected,-1.11556783919598,95.66845,Void Pinched
-1.1013567839196,4.696175,Structure Pinched,0.156321608040201,12.7447,Structure and void connected,-1.1013567839196,95.303825,Void Pinched
