endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-10,0,Structure Pinched,0,0,Structure and void connected,-10,100,Void Pinched
-9.91959798994975,0.0143,Structure Pinched,0.050251256281407,1.3005,Structure and void connected,-9.91959798994975,99.9857,Void Pinched
-9.8391959798995,0.0363,Structure Pinched,0.100502512562814,2.6025,Structure and void connected,-9.8391959798995,99.9637,Void Pinched
-9.75879396984925,0.0649,Structure Pinched,0.150753768844221,3.885,Structure and void connected,-9.75879396984925,99.9351,Void Pinched
-9.678391959799,0.0967,Structure Pinched,0.201005025125628,5.1929,Structure and void connected,-9.678391959799,99.9033,Void Pinched
-9.59798994974874,0.1343,Structure Pinched,0.251256281407035,6.4814,Structure and void connected,-9.59798994974874,99.8657,Void Pinched
-9.51758793969849,0.1748,Structure Pinched,0.301507537688442,7.7975,Structure and void connected,-9.51758793969849,99.8252,Void Pinched
-9.43718592964824,0.2205,Structure Pinched,0.351758793969849,9.077,Structure and void connected,-9.43718592964824,99.7795,Void Pinched
-9.35678391959799,0.2673,Structure Pinched,0.402010050251256,10.4036,Structure and void connected,-9.35678391959799,99.7327,Void Pinched
-9.27638190954774,0.3189,Structure Pinched,0.452261306532663,11.6927,Structure and void connected,-9.27638190954774,99.6811,Void Pinched
-9.19597989949749,0.3739,Structure Pinched,0.50251256281407,13.0067,Structure and void connected,-9.19597989949749,99.6261,Void Pinched
-9.11557788944724,0.4285,Structure Pinched,0.552763819095477,14.3004,Structure and void connected,-9.11557788944724,99.5715,Void Pinched
-9.03517587939698,0.4876,Structure Pinched,0.603015075376884,15.6169,Structure and void connected,-9.03517587939698,99.5124,Void Pinched
-8.95477386934673,0.5471,Structure Pinched,0.653266331658292,16.9162,Structure and void connected,-8.95477386934673,99.4529,Void Pinched
-8.87437185929648,0.6149,Structure Pinched,0.703517587939699,18.2212,Structure and void connected,-8.87437185929648,99.3851,Void Pinched
-8.79396984924623,0.6839,Structure Pinched,0.753768844221106,19.5232,Structure and void connected,-8.79396984924623,99.3161,Void Pinched
-8.71356783919598,0.7533,Structure Pinched,0.804020100502513,20.8198,Structure and void connected,-8.71356783919598,99.2467,Void Pinched
-8.63316582914573,0.8253,Structure Pinched,0.85427135678392,22.1461,Structure and void connected,-8.63316582914573,99.1747,Void Pinched
-8.55276381909548,0.8991,Structure Pinched,0.904522613065327,23.4391,Structure and void connected,-8.55276381909548,99.1009,Void Pinched
-8.47236180904523,0.9792,Structure Pinched,0.954773869346734,24.7701,Structure and void connected,-8.47236180904523,99.0208,Void Pinched
-8.39195979899498,1.0612,Structure Pinched,1.00502512562814,26.055,Structure and void connected,-8.39195979899498,98.9388,Void Pinched
-8.31155778894472,1.1437,Structure Pinched,1.05527638190955,27.3918,Structure and void connected,-8.31155778894472,98.8563,Void Pinched
-8.23115577889447,1.228,Structure Pinched,1.10552763819095,28.6761,Structure and void connected,-8.23115577889447,98.772,Void Pinched
-8.15075376884422,1.3177,Structure Pinched,1.15577889447236,30.0063,Structure and void connected,-8.15075376884422,98.6823,Void Pinched
-8.07035175879397,1.4057,Structure Pinched,1.20603015075377,31.3206,Structure and void connected,-8.07035175879397,98.5943,Void Pinched
-7.98994974874372,1.5017,Structure Pinched,1.25628140703518,32.6265,Structure and void connected,-7.98994974874372,98.4983,Void Pinched
-7.90954773869347,1.5956,Structure Pinched,1.30653266331658,33.9704,Structure and void connected,-7.90954773869347,98.4044,Void Pinched
-7.82914572864322,1.6931,Structure Pinched,1.35678391959799,35.2793,Structure and void connected,-7.82914572864322,98.3069,Void Pinched
-7.74874371859296,1.791,Structure Pinched,1.4070351758794,36.6425,Structure and void connected,-7.74874371859296,98.209,Void Pinched
-7.66834170854271,1.8951,Structure Pinched,1.4572864321608,37.9196,Structure and void connected,-7.66834170854271,98.1049,Void Pinched
-7.58793969849246,2.001,Structure Pinched,1.50753768844221,39.2984,Structure and void connected,-7.58793969849246,97.999,Void Pinched
-7.50753768844221,2.1069,Structure Pinched,1.55778894472362,40.5779,Structure and void connected,-7.50753768844221,97.8931,Void Pinched
-7.42713567839196,2.2153,Structure Pinched,1.60804020100503,41.9436,Structure and void connected,-7.42713567839196,97.7847,Void Pinched
-7.34673366834171,2.3302,Structure Pinched,1.65829145728643,43.2697,Structure and void connected,-7.34673366834171,97.6698,Void Pinched
-7.26633165829146,2.4487,Structure Pinched,1.70854271356784,44.6002,Structure and void connected,-7.26633165829146,97.5513,Void Pinched
-7.18592964824121,2.5633,Structure Pinched,1.75879396984925,45.9502,Structure and void connected,-7.18592964824121,97.4367,Void Pinched
-7.10552763819095,2.6806,Structure Pinched,1.80904522613065,47.2738,Structure and void connected,-7.10552763819095,97.3194,Void Pinched
-7.0251256281407,2.8076,Structure Pinched,1.85929648241206,48.6267,Void Pinched,-7.0251256281407,97.1924,Void Pinched
-6.94472361809045,2.9306,Structure Pinched,1.90954773869347,49.9112,Void Pinched,-6.94472361809045,97.0694,Void Pinched
-6.8643216080402,3.059,Structure Pinched,1.95979899497487,51.1915,Void Pinched,-6.8643216080402,96.941,Void Pinched
-6.78391959798995,3.1874,Structure Pinched,2.01005025125628,52.422,Void Pinched,-6.78391959798995,96.8126,Void Pinched
-6.7035175879397,3.3269,Structure Pinched,2.06030150753769,53.611,Void Pinched,-6.7035175879397,96.6731,Void Pinched
-6.62311557788945,3.4575,Structure Pinched,2.1105527638191,54.7121,Void Pinched,-6.62311557788945,96.5425,Void Pinched
-6.5427135678392,3.5988,Structure Pinched,2.1608040201005,55.7915,Void Pinched,-6.5427135678392,96.4012,Void Pinched
-6.46231155778894,3.7395,Structure Pinched,2.21105527638191,56.8104,Void Pinched,-6.46231155778894,96.2605,Void Pinched
-6.38190954773869,3.8856,Structure Pinched,2.26130653266332,57.8435,Void Pinched,-6.38190954773869,96.1144,Void Pinched
-6.30150753768844,4.032,Structure Pinched,2.31155778894472,58.8035,Void Pinched,-6.30150753768844,95.968,Void Pinched
-6.22110552763819,4.1839,Structure Pinched,2.36180904522613,59.7883,Void Pinched,-6.22110552763819,95.8161,Void Pinched
-6.14070351758794,4.333,Structure Pinched,2.41206030150754,60.7066,Void Pinched,-6.14070351758794,95.667,Void Pinched
-6.06030150753769,4.4923,Structure Pinched,2.46231155778894,61.6268,Void Pinched,-6.06030150753769,95.5077,Void Pinched
-5.97989949748744,4.6498,Structure Pinched,2.51256281407035,62.5413,Void Pinched,-5.97989949748744,95.3502,Void Pinched
-5.89949748743719,4.8091,Structure Pinched,2.56281407035176,63.3985,Void Pinched,-5.89949748743719,95.1909,Void Pinched
-5.81909547738693,4.9757,Structure Pinched,2.61306532663317,64.2922,Void Pinched,-5.81909547738693,95.0243,Void Pinched
-5.73869346733668,5.1392,Structure Pinched,2.66331658291457,65.0789,Void Pinched,-5.73869346733668,94.8608,Void Pinched
-5.65829145728643,5.3168,Structure Pinched,2.71356783919598,65.9293,Void Pinched,-5.65829145728643,94.6832,Void Pinched
-5.57788944723618,5.4911,Structure Pinched,2.76381909547739,66.7246,Void Pinched,-5.57788944723618,94.5089,Void Pinched
-5.49748743718593,5.6654,Structure Pinched,2.81407035175879,67.5104,Void Pinched,-5.49748743718593,94.3346,Void Pinched
-5.41708542713568,5.8476,Structure Pinched,2.8643216080402,68.3226,Void Pinched,-5.41708542713568,94.1524,Void Pinched
-5.33668341708543,6.0309,Structure Pinched,2.91457286432161,69.0481,Void Pinched,-5.33668341708543,93.9691,Void Pinched
-5.25628140703518,6.2196,Structure Pinched,2.96482412060302,69.8231,Void Pinched,-5.25628140703518,93.7804,Void Pinched
-5.17587939698493,6.4068,Structure Pinched,3.01507537688442,70.517,Void Pinched,-5.17587939698493,93.5932,Void Pinched
-5.09547738693467,6.6009,Structure Pinched,3.06532663316583,71.2804,Void Pinched,-5.09547738693467,93.3991,Void Pinched
-5.01507537688442,6.8011,Structure Pinched,3.11557788944724,71.9881,Void Pinched,-5.01507537688442,93.1989,Void Pinched
-4.93467336683417,7.0069,Structure Pinched,3.16582914572864,72.6622,Void Pinched,-4.93467336683417,92.9931,Void Pinched
-4.85427135678392,7.2127,Structure Pinched,3.21608040201005,73.3838,Void Pinched,-4.85427135678392,92.7873,Void Pinched
-4.77386934673367,7.4215,Structure Pinched,3.26633165829146,73.9837,Void Pinched,-4.77386934673367,92.5785,Void Pinched
-4.69346733668342,7.6306,Structure Pinched,3.31658291457286,74.6804,Void Pinched,-4.69346733668342,92.3694,Void Pinched
-4.61306532663317,7.8461,Structure Pinched,3.36683417085427,75.3692,Void Pinched,-4.61306532663317,92.1539,Void Pinched
-4.53266331658291,8.0702,Structure Pinched,3.41708542713568,75.931,Void Pinched,-4.53266331658291,91.9298,Void Pinched
-4.45226130653266,8.2985,Structure Pinched,3.46733668341709,76.5949,Void Pinched,-4.45226130653266,91.7015,Void Pinched
-4.37185929648241,8.5307,Structure Pinched,3.51758793969849,77.1802,Void Pinched,-4.37185929648241,91.4693,Void Pinched
