endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-1.5,0,Structure Pinched,0,1.25e-05,Structure and void connected,-1.5,100,Void Pinched
-1.48492462311558,0.10095,Structure Pinched,0.00753768844221105,0.4831,Structure and void connected,-1.48492462311558,99.89905,Void Pinched
-1.46984924623116,0.2931875,Structure Pinched,0.0150753768844221,0.96625,Structure and void connected,-1.46984924623116,99.7068125,Void Pinched
-1.45477386934673,0.55475,Structure Pinched,0.0226130653266332,1.4476,Structure and void connected,-1.45477386934673,99.44525,Void Pinched
-1.43969849246231,0.884025,Structure Pinched,0.0301507537688442,1.93235,Structure and void connected,-1.43969849246231,99.115975,Void Pinched
-1.42462311557789,1.2908125,Structure Pinched,0.0376884422110553,2.416775,Structure and void connected,-1.42462311557789,98.7091875,Void Pinched
-1.40954773869347,1.831025,Structure and void connected,0.0452261306532663,2.904425,Structure and void connected,-1.40954773869347,98.168975,Structure and void connected
-1.39447236180905,2.4399,Structure and void connected,0.0527638190954774,3.38445,Structure and void connected,-1.39447236180905,97.5601,Structure and void connected
-1.37939698492462,3.0416875,Structure and void connected,0.0603015075376884,3.8712,Structure and void connected,-1.37939698492462,96.9583125,Structure and void connected
-1.3643216080402,3.6381375,Structure and void connected,0.0678391959798995,4.35255,Structure and void connected,-1.3643216080402,96.3618625,Structure and void connected
-1.34924623115578,4.2302125,Structure and void connected,0.0753768844221105,4.8376,Structure and void connected,-1.34924623115578,95.7697875,Structure and void connected
-1.33417085427136,4.8153375,Structure and void connected,0.0829145728643216,5.322475,Structure and void connected,-1.33417085427136,95.1846625,Structure and void connected
-1.31909547738693,5.396,Structure and void connected,0.0904522613065327,5.80435,Structure and void connected,-1.31909547738693,94.604,Structure and void connected
-1.30402010050251,5.972025,Structure and void connected,0.0979899497487437,6.293825,Structure and void connected,-1.30402010050251,94.027975,Structure and void connected
-1.28894472361809,6.5465,Structure and void connected,0.105527638190955,6.775025,Structure and void connected,-1.28894472361809,93.4535,Structure and void connected
-1.27386934673367,7.11475,Structure and void connected,0.113065326633166,7.262075,Structure and void connected,-1.27386934673367,92.88525,Structure and void connected
