endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-4.998,0.0006,Structure Pinched,0,0,Structure and void connected,-4.998,99.9994,Void Pinched
-4.95780904522613,0.0282,Structure Pinched,0.0251155778894472,0.6534,Structure and void connected,-4.95780904522613,99.9718,Void Pinched
-4.91761809045226,0.0732,Structure Pinched,0.0502311557788945,1.317,Structure and void connected,-4.91761809045226,99.9268,Void Pinched
-4.87742713567839,0.1248,Structure Pinched,0.0753467336683417,1.962,Structure and void connected,-4.87742713567839,99.8752,Void Pinched
-4.83723618090452,0.1908,Structure Pinched,0.100462311557789,2.6364,Structure and void connected,-4.83723618090452,99.8092,Void Pinched
-4.79704522613065,0.2634,Structure Pinched,0.125577889447236,3.288,Structure and void connected,-4.79704522613065,99.7366,Void Pinched
-4.75685427135678,0.3456,Structure Pinched,0.150693467336683,3.9348,Structure and void connected,-4.75685427135678,99.6544,Void Pinched
-4.71666331658292,0.4302,Structure Pinched,0.175809045226131,4.6014,Structure and void connected,-4.71666331658292,99.5698,Void Pinched
-4.67647236180905,0.5286,Structure Pinched,0.200924623115578,5.2524,Structure and void connected,-4.67647236180905,99.4714,Void Pinched
-4.63628140703518,0.63,Structure Pinched,0.226040201005025,5.9196,Structure and void connected,-4.63628140703518,99.37,Void Pinched
-4.59609045226131,0.7368,Structure Pinched,0.251155778894472,6.573,Structure and void connected,-4.59609045226131,99.2632,Void Pinched
-4.55589949748744,0.8472,Structure Pinched,0.27627135678392,7.2366,Structure and void connected,-4.55589949748744,99.1528,Void Pinched
-4.51570854271357,0.9666,Structure Pinched,0.301386934673367,7.896,Structure and void connected,-4.51570854271357,99.0334,Void Pinched
-4.4755175879397,1.0896,Structure Pinched,0.326502512562814,8.5458,Structure and void connected,-4.4755175879397,98.9104,Void Pinched
-4.43532663316583,1.2192,Structure Pinched,0.351618090452261,9.2136,Structure and void connected,-4.43532663316583,98.7808,Void Pinched
-4.39513567839196,1.3584,Structure Pinched,0.376733668341709,9.861,Structure and void connected,-4.39513567839196,98.6416,Void Pinched
-4.35494472361809,1.4994,Structure Pinched,0.401849246231156,10.5414,Structure and void connected,-4.35494472361809,98.5006,Void Pinched
-4.31475376884422,1.6482,Structure Pinched,0.426964824120603,11.1906,Structure and void connected,-4.31475376884422,98.3518,Void Pinched
-4.27456281407035,1.803,Structure Pinched,0.45208040201005,11.8512,Structure and void connected,-4.27456281407035,98.197,Void Pinched
-4.23437185929648,1.965,Structure Pinched,0.477195979899498,12.5154,Structure and void connected,-4.23437185929648,98.035,Void Pinched
-4.19418090452261,2.1252,Structure Pinched,0.502311557788945,13.161,Structure and void connected,-4.19418090452261,97.8748,Void Pinched
-4.15398994974874,2.2938,Structure Pinched,0.527427135678392,13.8312,Structure and void connected,-4.15398994974874,97.7062,Void Pinched
-4.11379899497488,2.4774,Structure Pinched,0.552542713567839,14.4906,Structure and void connected,-4.11379899497488,97.5226,Void Pinched
-4.07360804020101,2.6586,Structure Pinched,0.577658291457286,15.141,Structure and void connected,-4.07360804020101,97.3414,Void Pinched
-4.03341708542714,2.8398,Structure Pinched,0.602773869346734,15.8094,Structure and void connected,-4.03341708542714,97.1602,Void Pinched
-3.99322613065327,3.0402,Structure Pinched,0.627889447236181,16.4724,Structure and void connected,-3.99322613065327,96.9598,Void Pinched
-3.9530351758794,3.2454,Structure Pinched,0.653005025125628,17.1462,Structure and void connected,-3.9530351758794,96.7546,Void Pinched
-3.91284422110553,3.4398,Structure Pinched,0.678120603015075,17.8044,Structure and void connected,-3.91284422110553,96.5602,Void Pinched
-3.87265326633166,3.6612,Structure Pinched,0.703236180904523,18.459,Structure and void connected,-3.87265326633166,96.3388,Void Pinched
-3.83246231155779,3.8838,Structure Pinched,0.72835175879397,19.1304,Structure and void connected,-3.83246231155779,96.1162,Void Pinched
-3.79227135678392,4.0986,Structure Pinched,0.753467336683417,19.7994,Structure and void connected,-3.79227135678392,95.9014,Void Pinched
-3.75208040201005,4.3404,Structure Pinched,0.778582914572864,20.4672,Structure and void connected,-3.75208040201005,95.6596,Void Pinched
-3.71188944723618,4.5726,Structure Pinched,0.803698492462312,21.1254,Structure and void connected,-3.71188944723618,95.4274,Void Pinched
