endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-1.6,0,Structure Pinched,0,0,Structure and void connected,-1.6,100,Void Pinched
-1.58424623115578,0.0132,Structure Pinched,0.00804020100502513,0.8397,Structure and void connected,-1.58424623115578,99.9868,Void Pinched
-1.56849246231156,0.0342,Structure Pinched,0.0160804020100503,1.6804,Structure and void connected,-1.56849246231156,99.9658,Void Pinched
-1.55273869346734,0.0618,Structure Pinched,0.0241206030150754,2.5192,Structure and void connected,-1.55273869346734,99.9382,Void Pinched
-1.53698492462312,0.0945,Structure Pinched,0.0321608040201005,3.3505,Structure and void connected,-1.53698492462312,99.9055,Void Pinched
-1.52123115577889,0.1314,Structure Pinched,0.0402010050251256,4.1857,Structure and void connected,-1.52123115577889,99.8686,Void Pinched
-1.50547738693467,0.1734,Structure Pinched,0.0482412060301508,5.0332,Structure and void connected,-1.50547738693467,99.8266,Void Pinched
-1.48972361809045,0.2169,Structure Pinched,0.0562814070351759,5.8661,Structure and void connected,-1.48972361809045,99.7831,Void Pinched
-1.47396984924623,0.2655,Structure Pinched,0.064321608040201,6.7085,Structure and void connected,-1.47396984924623,99.7345,Void Pinched
-1.45821608040201,0.318,Structure Pinched,0.0723618090452261,7.5545,Structure and void connected,-1.45821608040201,99.682,Void Pinched
-1.44246231155779,0.3726,Structure Pinched,0.0804020100502513,8.3928,Structure and void connected,-1.44246231155779,99.6274,Void Pinched
-1.42670854271357,0.4314,Structure Pinched,0.0884422110552764,9.2241,Structure and void connected,-1.42670854271357,99.5686,Void Pinched
-1.41095477386935,0.495,Structure Pinched,0.0964824120603015,10.0671,Structure and void connected,-1.41095477386935,99.505,Void Pinched
-1.39520100502513,0.5586,Structure Pinched,0.104522613065327,10.9038,Structure and void connected,-1.39520100502513,99.4414,Void Pinched
-1.3794472361809,0.6264,Structure Pinched,0.112562814070352,11.7291,Structure and void connected,-1.3794472361809,99.3736,Void Pinched
