endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-2.7,0.0001,Structure Pinched,0,0,Structure and void connected,-2.7,99.9999,Void Pinched
-2.6748743718593,0.01865,Structure Pinched,0.0135678391959799,1.047175,Structure and void connected,-2.6748743718593,99.98135,Void Pinched
-2.64974874371859,0.047875,Structure Pinched,0.0271356783919598,2.092975,Structure and void connected,-2.64974874371859,99.952125,Void Pinched
-2.62462311557789,0.08655,Structure Pinched,0.0407035175879397,3.129475,Structure and void connected,-2.62462311557789,99.91345,Void Pinched
-2.59949748743719,0.13135,Structure Pinched,0.0542713567839196,4.18675,Structure and void connected,-2.59949748743719,99.86865,Void Pinched
-2.57437185929648,0.1805,Structure Pinched,0.0678391959798995,5.228975,Structure and void connected,-2.57437185929648,99.8195,Void Pinched
-2.54924623115578,0.23715,Structure Pinched,0.0814070351758794,6.2748,Structure and void connected,-2.54924623115578,99.76285,Void Pinched
-2.52412060301508,0.29695,Structure Pinched,0.0949748743718593,7.32,Structure and void connected,-2.52412060301508,99.70305,Void Pinched
-2.49899497487437,0.363425,Structure Pinched,0.108542713567839,8.366475,Structure and void connected,-2.49899497487437,99.636575,Void Pinched
-2.47386934673367,0.433575,Structure Pinched,0.122110552763819,9.416625,Structure and void connected,-2.47386934673367,99.566425,Void Pinched
-2.44874371859297,0.50935,Structure Pinched,0.135678391959799,10.4659,Structure and void connected,-2.44874371859297,99.49065,Void Pinched
-2.42361809045226,0.588475,Structure Pinched,0.149246231155779,11.51,Structure and void connected,-2.42361809045226,99.411525,Void Pinched
-2.39849246231156,0.671825,Structure Pinched,0.162814070351759,12.558725,Structure and void connected,-2.39849246231156,99.328175,Void Pinched
-2.37336683417085,0.758625,Structure Pinched,0.176381909547739,13.61375,Structure and void connected,-2.37336683417085,99.241375,Void Pinched
-2.34824120603015,0.850275,Structure Pinched,0.189949748743719,14.6624,Structure and void connected,-2.34824120603015,99.149725,Void Pinched
-2.32311557788945,0.946,Structure Pinched,0.203517587939698,15.713175,Structure and void connected,-2.32311557788945,99.054,Void Pinched
-2.29798994974874,1.043375,Structure Pinched,0.217085427135678,16.76715,Structure and void connected,-2.29798994974874,98.956625,Void Pinched
-2.27286432160804,1.145525,Structure Pinched,0.230653266331658,17.82055,Structure and void connected,-2.27286432160804,98.854475,Void Pinched
-2.24773869346734,1.251975,Structure Pinched,0.244221105527638,18.872275,Structure and void connected,-2.24773869346734,98.748025,Void Pinched
-2.22261306532663,1.361575,Structure Pinched,0.257788944723618,19.928575,Structure and void connected,-2.22261306532663,98.638425,Void Pinched
-2.19748743718593,1.476025,Structure Pinched,0.271356783919598,20.983775,Structure and void connected,-2.19748743718593,98.523975,Void Pinched
-2.17236180904523,1.595,Structure Pinched,0.284924623115578,22.04435,Structure and void connected,-2.17236180904523,98.405,Void Pinched
-2.14723618090452,1.716875,Structure Pinched,0.298492462311558,23.103,Structure and void connected,-2.14723618090452,98.283125,Void Pinched
-2.12211055276382,1.841325,Structure Pinched,0.312060301507538,24.138225,Structure and void connected,-2.12211055276382,98.158675,Void Pinched
-2.09698492462312,1.969425,Structure Pinched,0.325628140703518,25.152525,Structure and void connected,-2.09698492462312,98.030575,Void Pinched
-2.07185929648241,2.104675,Structure Pinched,0.339195979899498,26.13985,Structure and void connected,-2.07185929648241,97.895325,Void Pinched
-2.04673366834171,2.241325,Structure Pinched,0.352763819095477,27.116125,Void Pinched,-2.04673366834171,97.758675,Void Pinched
-2.02160804020101,2.381075,Structure Pinched,0.366331658291457,28.04405,Void Pinched,-2.02160804020101,97.618925,Void Pinched
-1.9964824120603,2.525525,Structure Pinched,0.379899497487437,28.943075,Void Pinched,-1.9964824120603,97.474475,Void Pinched
-1.9713567839196,2.6754,Structure Pinched,0.393467336683417,29.809475,Void Pinched,-1.9713567839196,97.3246,Void Pinched
-1.94623115577889,2.826675,Structure Pinched,0.407035175879397,30.6699,Void Pinched,-1.94623115577889,97.173325,Void Pinched
-1.92110552763819,2.98165,Structure Pinched,0.420603015075377,31.505925,Void Pinched,-1.92110552763819,97.01835,Void Pinched
-1.89597989949749,3.14215,Structure Pinched,0.434170854271357,32.320825,Void Pinched,-1.89597989949749,96.85785,Void Pinched
-1.87085427135678,3.306125,Structure Pinched,0.447738693467337,33.1219,Void Pinched,-1.87085427135678,96.693875,Void Pinched
-1.84572864321608,3.47285,Structure Pinched,0.461306532663317,33.92365,Void Pinched,-1.84572864321608,96.52715,Void Pinched
-1.82060301507538,3.6432,Structure Pinched,0.474874371859296,34.69415,Void Pinched,-1.82060301507538,96.3568,Void Pinched
-1.79547738693467,3.8208,Structure Pinched,0.488442211055276,35.4674,Void Pinched,-1.79547738693467,96.1792,Void Pinched
-1.77035175879397,4.00035,Structure Pinched,0.502010050251256,36.225725,Void Pinched,-1.77035175879397,95.99965,Void Pinched
-1.74522613065327,4.18525,Structure Pinched,0.515577889447236,36.97035,Void Pinched,-1.74522613065327,95.81475,Void Pinched
-1.72010050251256,4.3735,Structure Pinched,0.529145728643216,37.71085,Void Pinched,-1.72010050251256,95.6265,Void Pinched
-1.69497487437186,4.564025,Structure Pinched,0.542713567839196,38.430025,Void Pinched,-1.69497487437186,95.435975,Void Pinched
-1.66984924623116,4.762775,Structure Pinched,0.556281407035176,39.14875,Void Pinched,-1.66984924623116,95.237225,Void Pinched
-1.64472361809045,4.9638,Structure Pinched,0.569849246231156,39.862075,Void Pinched,-1.64472361809045,95.0362,Void Pinched
-1.61959798994975,5.1705,Structure Pinched,0.583417085427136,40.562375,Void Pinched,-1.61959798994975,94.8295,Void Pinched
-1.59447236180905,5.38245,Structure Pinched,0.596984924623116,41.253525,Void Pinched,-1.59447236180905,94.61755,Void Pinched
-1.56934673366834,5.597275,Structure Pinched,0.610552763819096,41.9427,Void Pinched,-1.56934673366834,94.402725,Void Pinched
-1.54422110552764,5.814475,Structure Pinched,0.624120603015075,42.617925,Void Pinched,-1.54422110552764,94.185525,Void Pinched
-1.51909547738693,6.039575,Structure Pinched,0.637688442211055,43.291125,Void Pinched,-1.51909547738693,93.960425,Void Pinched
