endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-13,0,Structure Pinched,0,0,Structure and void connected,-13,100,Void Pinched
-12.8693467336683,0.0121,Structure Pinched,0.0653266331658292,2.8272,Structure and void connected,-12.8693467336683,99.9879,Void Pinched
-12.7386934673367,0.035,Structure Pinched,0.130653266331658,5.6557,Structure and void connected,-12.7386934673367,99.965,Void Pinched
-12.608040201005,0.063,Structure Pinched,0.195979899497487,8.4841,Structure and void connected,-12.608040201005,99.937,Void Pinched
-12.4773869346734,0.0973,Structure Pinched,0.261306532663317,11.3555,Structure and void connected,-12.4773869346734,99.9027,Void Pinched
-12.3467336683417,0.1388,Structure Pinched,0.326633165829146,14.1683,Structure and void connected,-12.3467336683417,99.8612,Void Pinched
-12.2160804020101,0.1836,Structure Pinched,0.391959798994975,17.0226,Structure and void connected,-12.2160804020101,99.8164,Void Pinched
-12.0854271356784,0.2314,Structure Pinched,0.457286432160804,19.8837,Structure and void connected,-12.0854271356784,99.7686,Void Pinched
-11.9547738693467,0.2839,Structure Pinched,0.522613065326633,22.7416,Structure and void connected,-11.9547738693467,99.7161,Void Pinched
-11.8241206030151,0.3419,Structure Pinched,0.587939698492462,25.651,Structure and void connected,-11.8241206030151,99.6581,Void Pinched
-11.6934673366834,0.4022,Structure Pinched,0.653266331658292,28.5539,Structure and void connected,-11.6934673366834,99.5978,Void Pinched
-11.5628140703518,0.4689,Structure Pinched,0.718592964824121,31.487,Structure and void connected,-11.5628140703518,99.5311,Void Pinched
-11.4321608040201,0.5371,Structure Pinched,0.78391959798995,34.278,Void Pinched,-11.4321608040201,99.4629,Void Pinched
-11.3015075376884,0.6079,Structure Pinched,0.849246231155779,36.5562,Void Pinched,-11.3015075376884,99.3921,Void Pinched
-11.1708542713568,0.6869,Structure Pinched,0.914572864321608,38.5185,Void Pinched,-11.1708542713568,99.3131,Void Pinched
-11.0402010050251,0.7658,Structure Pinched,0.979899497487437,40.1986,Void Pinched,-11.0402010050251,99.2342,Void Pinched
-10.9095477386935,0.8514,Structure Pinched,1.04522613065327,41.5849,Void Pinched,-10.9095477386935,99.1486,Void Pinched
-10.7788944723618,0.9375,Structure Pinched,1.1105527638191,42.8675,Void Pinched,-10.7788944723618,99.0625,Void Pinched
-10.6482412060302,1.0297,Structure Pinched,1.17587939698492,44.099,Void Pinched,-10.6482412060302,98.9703,Void Pinched
-10.5175879396985,1.1233,Structure Pinched,1.24120603015075,45.2913,Void Pinched,-10.5175879396985,98.8767,Void Pinched
-10.3869346733668,1.2242,Structure Pinched,1.30653266331658,46.425,Void Pinched,-10.3869346733668,98.7758,Void Pinched
-10.2562814070352,1.3235,Structure Pinched,1.37185929648241,47.503,Void Pinched,-10.2562814070352,98.6765,Void Pinched
-10.1256281407035,1.4301,Structure Pinched,1.43718592964824,48.5533,Void Pinched,-10.1256281407035,98.5699,Void Pinched
-9.99497487437186,1.5378,Structure Pinched,1.50251256281407,49.5862,Void Pinched,-9.99497487437186,98.4622,Void Pinched
-9.8643216080402,1.6536,Structure Pinched,1.5678391959799,50.591,Void Pinched,-9.8643216080402,98.3464,Void Pinched
-9.73366834170854,1.7713,Structure Pinched,1.63316582914573,51.5501,Void Pinched,-9.73366834170854,98.2287,Void Pinched
-9.60301507537688,1.8901,Structure Pinched,1.69849246231156,52.4742,Void Pinched,-9.60301507537688,98.1099,Void Pinched
-9.47236180904523,2.0174,Structure Pinched,1.76381909547739,53.3784,Void Pinched,-9.47236180904523,97.9826,Void Pinched
-9.34170854271357,2.1503,Structure Pinched,1.82914572864322,54.2611,Void Pinched,-9.34170854271357,97.8497,Void Pinched
-9.21105527638191,2.2778,Structure Pinched,1.89447236180905,55.1263,Void Pinched,-9.21105527638191,97.7222,Void Pinched
