endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-3,0,Structure Pinched,0,0,Structure and void connected,-3,100,Void Pinched
-2.96984924623116,0.0241,Structure Pinched,0.0150753768844221,0.8625,Structure and void connected,-2.96984924623116,99.9759,Void Pinched
-2.93969849246231,0.0702,Structure Pinched,0.0301507537688442,1.7161,Structure and void connected,-2.93969849246231,99.9298,Void Pinched
-2.90954773869347,0.1292,Structure Pinched,0.0452261306532663,2.5771,Structure and void connected,-2.90954773869347,99.8708,Void Pinched
-2.87939698492462,0.2013,Structure Pinched,0.0603015075376884,3.427,Structure and void connected,-2.87939698492462,99.7987,Void Pinched
-2.84924623115578,0.2815,Structure Pinched,0.0753768844221105,4.2887,Structure and void connected,-2.84924623115578,99.7185,Void Pinched
-2.81909547738693,0.3707,Structure Pinched,0.0904522613065327,5.1482,Structure and void connected,-2.81909547738693,99.6293,Void Pinched
-2.78894472361809,0.4719,Structure Pinched,0.105527638190955,6.0053,Structure and void connected,-2.78894472361809,99.5281,Void Pinched
-2.75879396984925,0.5782,Structure Pinched,0.120603015075377,6.8616,Structure and void connected,-2.75879396984925,99.4218,Void Pinched
-2.7286432160804,0.6947,Structure Pinched,0.135678391959799,7.7223,Structure and void connected,-2.7286432160804,99.3053,Void Pinched
-2.69849246231156,0.8159,Structure Pinched,0.150753768844221,8.5755,Structure and void connected,-2.69849246231156,99.1841,Void Pinched
-2.66834170854271,0.9456,Structure Pinched,0.165829145728643,9.4513,Structure and void connected,-2.66834170854271,99.0544,Void Pinched
-2.63819095477387,1.0855,Structure Pinched,0.180904522613065,10.2859,Structure and void connected,-2.63819095477387,98.9145,Void Pinched
-2.60804020100502,1.2301,Structure Pinched,0.195979899497487,11.1664,Structure and void connected,-2.60804020100502,98.7699,Void Pinched
-2.57788944723618,1.3793,Structure Pinched,0.21105527638191,11.9944,Structure and void connected,-2.57788944723618,98.6207,Void Pinched
-2.54773869346734,1.5372,Structure Pinched,0.226130653266332,12.8642,Structure and void connected,-2.54773869346734,98.4628,Void Pinched
-2.51758793969849,1.6989,Structure Pinched,0.241206030150754,13.7138,Structure and void connected,-2.51758793969849,98.3011,Void Pinched
-2.48743718592965,1.8763,Structure Pinched,0.256281407035176,14.576,Structure and void connected,-2.48743718592965,98.1237,Void Pinched
-2.4572864321608,2.0551,Structure Pinched,0.271356783919598,15.4299,Structure and void connected,-2.4572864321608,97.9449,Void Pinched
-2.42713567839196,2.2382,Structure Pinched,0.28643216080402,16.2948,Structure and void connected,-2.42713567839196,97.7618,Void Pinched
-2.39698492462312,2.4317,Structure Pinched,0.301507537688442,17.1534,Structure and void connected,-2.39698492462312,97.5683,Void Pinched
-2.36683417085427,2.6292,Structure Pinched,0.316582914572864,18.016,Structure and void connected,-2.36683417085427,97.3708,Void Pinched
-2.33668341708543,2.8335,Structure Pinched,0.331658291457286,18.8668,Structure and void connected,-2.33668341708543,97.1665,Void Pinched
-2.30653266331658,3.0484,Structure Pinched,0.346733668341709,19.7293,Structure and void connected,-2.30653266331658,96.9516,Void Pinched
-2.27638190954774,3.2635,Structure Pinched,0.361809045226131,20.5817,Structure and void connected,-2.27638190954774,96.7365,Void Pinched
-2.24623115577889,3.4904,Structure Pinched,0.376884422110553,21.4448,Structure and void connected,-2.24623115577889,96.5096,Void Pinched
-2.21608040201005,3.7205,Structure Pinched,0.391959798994975,22.3022,Structure and void connected,-2.21608040201005,96.2795,Void Pinched
-2.18592964824121,3.96,Structure Pinched,0.407035175879397,23.1633,Structure and void connected,-2.18592964824121,96.04,Void Pinched
-2.15577889447236,4.2099,Structure Pinched,0.422110552763819,24.0246,Structure and void connected,-2.15577889447236,95.7901,Void Pinched
-2.12562814070352,4.4617,Structure Pinched,0.437185929648241,24.8895,Structure and void connected,-2.12562814070352,95.5383,Void Pinched
-2.09547738693467,4.7215,Structure Pinched,0.452261306532663,25.7365,Structure and void connected,-2.09547738693467,95.2785,Void Pinched
-2.06532663316583,4.9886,Structure Pinched,0.467336683417085,26.6095,Structure and void connected,-2.06532663316583,95.0114,Void Pinched
-2.03517587939698,5.2595,Structure Pinched,0.482412060301508,27.4708,Structure and void connected,-2.03517587939698,94.7405,Void Pinched
-2.00502512562814,5.5443,Structure Pinched,0.49748743718593,28.3298,Structure and void connected,-2.00502512562814,94.4557,Void Pinched
-1.9748743718593,5.8383,Structure Pinched,0.512562814070352,29.1857,Structure and void connected,-1.9748743718593,94.1617,Void Pinched
-1.94472361809045,6.1326,Structure Pinched,0.527638190954774,30.0488,Structure and void connected,-1.94472361809045,93.8674,Void Pinched
-1.91457286432161,6.4402,Structure Pinched,0.542713567839196,30.9063,Structure and void connected,-1.91457286432161,93.5598,Void Pinched
-1.88442211055276,6.754,Structure Pinched,0.557788944723618,31.7832,Structure and void connected,-1.88442211055276,93.246,Void Pinched
-1.85427135678392,7.076,Structure Pinched,0.57286432160804,32.6262,Structure and void connected,-1.85427135678392,92.924,Void Pinched
-1.82412060301508,7.406,Structure Pinched,0.587939698492462,33.5115,Structure and void connected,-1.82412060301508,92.594,Void Pinched
-1.79396984924623,7.7414,Structure Pinched,0.603015075376884,34.3615,Structure and void connected,-1.79396984924623,92.2586,Void Pinched
-1.76381909547739,8.0886,Structure Pinched,0.618090452261307,35.2231,Structure and void connected,-1.76381909547739,91.9114,Void Pinched
-1.73366834170854,8.4417,Structure Pinched,0.633165829145729,36.0847,Structure and void connected,-1.73366834170854,91.5583,Void Pinched
-1.7035175879397,8.8063,Structure Pinched,0.648241206030151,36.9536,Structure and void connected,-1.7035175879397,91.1937,Void Pinched
-1.67336683417085,9.1843,Structure Pinched,0.663316582914573,37.8083,Structure and void connected,-1.67336683417085,90.8157,Void Pinched
-1.64321608040201,9.5689,Structure Pinched,0.678391959798995,38.6771,Structure and void connected,-1.64321608040201,90.4311,Void Pinched
-1.61306532663317,9.9614,Structure Pinched,0.693467336683417,39.5397,Structure and void connected,-1.61306532663317,90.0386,Void Pinched
-1.58291457286432,10.3628,Structure Pinched,0.708542713567839,40.404,Structure and void connected,-1.58291457286432,89.6372,Void Pinched
-1.55276381909548,10.7703,Structure Pinched,0.723618090452261,41.2638,Structure and void connected,-1.55276381909548,89.2297,Void Pinched
-1.52261306532663,11.1948,Structure Pinched,0.738693467336683,42.1375,Structure and void connected,-1.52261306532663,88.8052,Void Pinched
-1.49246231155779,11.6331,Structure Pinched,0.753768844221106,43.0057,Structure and void connected,-1.49246231155779,88.3669,Void Pinched
-1.46231155778894,12.0805,Structure Pinched,0.768844221105528,43.8718,Structure and void connected,-1.46231155778894,87.9195,Void Pinched
-1.4321608040201,12.5419,Structure Pinched,0.78391959798995,44.7425,Structure and void connected,-1.4321608040201,87.4581,Void Pinched
-1.40201005025126,13.0162,Structure Pinched,0.798994974874372,45.6041,Structure and void connected,-1.40201005025126,86.9838,Void Pinched
-1.37185929648241,13.499,Structure Pinched,0.814070351758794,46.472,Structure and void connected,-1.37185929648241,86.501,Void Pinched
-1.34170854271357,13.9979,Structure Pinched,0.829145728643216,47.3433,Structure and void connected,-1.34170854271357,86.0021,Void Pinched
-1.31155778894472,14.5115,Structure Pinched,0.844221105527638,48.1977,Structure and void connected,-1.31155778894472,85.4885,Void Pinched
-1.28140703517588,15.0438,Structure Pinched,0.85929648241206,49.0797,Structure and void connected,-1.28140703517588,84.9562,Void Pinched
-1.25125628140704,15.5841,Structure Pinched,0.874371859296482,49.9399,Structure and void connected,-1.25125628140704,84.4159,Void Pinched
-1.22110552763819,16.143,Structure Pinched,0.889447236180904,50.8102,Structure and void connected,-1.22110552763819,83.857,Void Pinched
-1.19095477386935,16.7212,Structure Pinched,0.904522613065327,51.6817,Structure and void connected,-1.19095477386935,83.2788,Void Pinched
-1.1608040201005,17.3242,Structure Pinched,0.919597989949749,52.5449,Structure and void connected,-1.1608040201005,82.6758,Void Pinched
-1.13065326633166,17.9465,Structure Pinched,0.934673366834171,53.4224,Structure and void connected,-1.13065326633166,82.0535,Void Pinched
-1.10050251256281,18.5897,Structure Pinched,0.949748743718593,54.2837,Structure and void connected,-1.10050251256281,81.4103,Void Pinched
-1.07035175879397,19.2671,Structure Pinched,0.964824120603015,55.1787,Structure and void connected,-1.07035175879397,80.7329,Void Pinched
-1.04020100502513,19.9794,Structure Pinched,0.979899497487437,56.0289,Structure and void connected,-1.04020100502513,80.0206,Void Pinched
-1.01005025125628,20.7408,Structure Pinched,0.994974874371859,56.9421,Structure and void connected,-1.01005025125628,79.2592,Void Pinched
-0.979899497487437,21.597,Structure and void connected,1.01005025125628,57.7714,Void Pinched,-0.979899497487437,78.403,Structure and void connected
-0.949748743718593,22.4638,Structure and void connected,1.0251256281407,58.5691,Void Pinched,-0.949748743718593,77.5362,Structure and void connected
-0.919597989949749,23.3287,Structure and void connected,1.04020100502513,59.3266,Void Pinched,-0.919597989949749,76.6713,Structure and void connected
-0.889447236180904,24.1873,Structure and void connected,1.05527638190955,60.0623,Void Pinched,-0.889447236180904,75.8127,Structure and void connected
-0.85929648241206,25.0463,Structure and void connected,1.07035175879397,60.7703,Void Pinched,-0.85929648241206,74.9537,Structure and void connected
-0.829145728643216,25.9127,Structure and void connected,1.08542713567839,61.4696,Void Pinched,-0.829145728643216,74.0873,Structure and void connected
-0.798994974874372,26.7776,Structure and void connected,1.10050251256281,62.1432,Void Pinched,-0.798994974874372,73.2224,Structure and void connected
-0.768844221105528,27.6426,Structure and void connected,1.11557788944724,62.8179,Void Pinched,-0.768844221105528,72.3574,Structure and void connected
