endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-0.415,0.0015,Structure Pinched,0,0,Structure and void connected,-0.415,99.9985,Void Pinched
-0.404120603015075,0.0957,Structure Pinched,0.00879396984924623,2.0844,Structure and void connected,-0.404120603015075,99.9043,Void Pinched
-0.393241206030151,0.3453,Structure Pinched,0.0175879396984925,4.1515,Structure and void connected,-0.393241206030151,99.6547,Void Pinched
-0.382361809045226,0.7325,Structure Pinched,0.0263819095477387,6.2374,Structure and void connected,-0.382361809045226,99.2675,Void Pinched
-0.371482412060301,1.2802,Structure Pinched,0.0351758793969849,8.3383,Structure and void connected,-0.371482412060301,98.7198,Void Pinched
-0.360603015075377,2.0291,Structure Pinched,0.0439698492462312,10.3904,Structure and void connected,-0.360603015075377,97.9709,Void Pinched
-0.349723618090452,3.3791,Structure Pinched,0.0527638190954774,12.5366,Structure and void connected,-0.349723618090452,96.6209,Void Pinched
-0.338844221105528,4.5671,Structure Pinched,0.0615577889447236,14.601,Structure and void connected,-0.338844221105528,95.4329,Void Pinched
-0.327964824120603,5.7308,Structure Pinched,0.0703517587939698,16.7778,Structure and void connected,-0.327964824120603,94.2692,Void Pinched
-0.317085427135678,6.9774,Structure Pinched,0.0791457286432161,18.8475,Structure and void connected,-0.317085427135678,93.0226,Void Pinched
-0.306206030150754,8.3244,Structure Pinched,0.0879396984924623,21.0301,Structure and void connected,-0.306206030150754,91.6756,Void Pinched
-0.295326633165829,9.8657,Structure Pinched,0.0967336683417085,23.134,Structure and void connected,-0.295326633165829,90.1343,Void Pinched
-0.284447236180905,11.7055,Structure Pinched,0.105527638190955,25.3084,Structure and void connected,-0.284447236180905,88.2945,Void Pinched
-0.27356783919598,14.5864,Structure Pinched,0.114321608040201,27.4802,Structure and void connected,-0.27356783919598,85.4136,Void Pinched
-0.262688442211055,18.5796,Structure Pinched,0.123115577889447,29.669,Structure and void connected,-0.262688442211055,81.4204,Void Pinched
-0.251809045226131,22.0801,Structure Pinched,0.131909547738693,31.863,Structure and void connected,-0.251809045226131,77.9199,Void Pinched
-0.240929648241206,25.3177,Structure Pinched,0.14070351758794,34.092,Void Pinched,-0.240929648241206,74.6823,Void Pinched
-0.230050251256281,27.4457,Structure Pinched,0.149497487437186,36.2016,Void Pinched,-0.230050251256281,72.5543,Void Pinched
-0.219170854271357,29.2553,Structure Pinched,0.158291457286432,38.3532,Void Pinched,-0.219170854271357,70.7447,Void Pinched
-0.208291457286432,30.8387,Structure Pinched,0.167085427135678,40.4546,Void Pinched,-0.208291457286432,69.1613,Void Pinched
-0.197412060301508,32.3442,Structure Pinched,0.175879396984925,42.6128,Void Pinched,-0.197412060301508,67.6558,Void Pinched
-0.186532663316583,33.8415,Structure Pinched,0.184673366834171,44.6474,Void Pinched,-0.186532663316583,66.1585,Void Pinched
-0.175653266331658,35.2299,Structure Pinched,0.193467336683417,46.6817,Void Pinched,-0.175653266331658,64.7701,Void Pinched
-0.164773869346734,36.6477,Structure Pinched,0.202261306532663,48.6498,Void Pinched,-0.164773869346734,63.3523,Void Pinched
-0.153894472361809,38.0686,Structure Pinched,0.21105527638191,50.6625,Void Pinched,-0.153894472361809,61.9314,Void Pinched
-0.143015075376884,39.4606,Structure Pinched,0.219849246231156,52.6849,Void Pinched,-0.143015075376884,60.5394,Void Pinched
-0.13213567839196,40.9513,Structure and void connected,0.228643216080402,54.8287,Void Pinched,-0.13213567839196,59.0487,Structure and void connected
-0.121256281407035,42.434,Structure and void connected,0.237437185929648,57.0953,Void Pinched,-0.121256281407035,57.566,Structure and void connected
-0.110376884422111,43.9238,Structure and void connected,0.246231155778894,60.1076,Void Pinched,-0.110376884422111,56.0762,Structure and void connected
-0.0994974874371859,45.3854,Structure and void connected,0.255025125628141,63.3776,Void Pinched,-0.0994974874371859,54.6146,Structure and void connected
-0.0886180904522613,46.7729,Structure and void connected,0.263819095477387,66.9631,Void Pinched,-0.0886180904522613,53.2271,Structure and void connected
-0.0777386934673367,48.2097,Structure and void connected,0.272613065326633,70.7124,Void Pinched,-0.0777386934673367,51.7903,Structure and void connected
-0.066859296482412,49.5873,Structure and void connected,0.281407035175879,73.703,Void Pinched,-0.066859296482412,50.4127,Structure and void connected
-0.0559798994974874,50.9325,Structure and void connected,0.290201005025126,75.9128,Void Pinched,-0.0559798994974874,49.0675,Structure and void connected
-0.0451005025125628,52.3104,Structure and void connected,0.298994974874372,77.753,Void Pinched,-0.0451005025125628,47.6896,Structure and void connected
-0.0342211055276381,53.5993,Structure and void connected,0.307788944723618,79.3858,Void Pinched,-0.0342211055276381,46.4007,Structure and void connected
-0.0233417085427136,54.961,Structure and void connected,0.316582914572864,80.899,Void Pinched,-0.0233417085427136,45.039,Structure and void connected
-0.0124623115577889,56.2078,Structure and void connected,0.325376884422111,82.3144,Void Pinched,-0.0124623115577889,43.7922,Structure and void connected
-0.0015829145728643,57.5344,Structure and void connected,0.334170854271357,83.6503,Void Pinched,-0.0015829145728643,42.4656,Structure and void connected
0.00929648241206033,58.8047,Structure and void connected,0.342964824120603,84.911,Void Pinched,0.00929648241206033,41.1953,Structure and void connected
0.0201758793969849,60.101,Structure and void connected,0.351758793969849,86.3134,Void Pinched,0.0201758793969849,39.899,Structure and void connected
0.0310552763819096,61.3487,Structure and void connected,0.360552763819095,87.6522,Void Pinched,0.0310552763819096,38.6513,Structure and void connected
0.0419346733668342,62.6297,Structure and void connected,0.369346733668342,88.5426,Void Pinched,0.0419346733668342,37.3703,Structure and void connected
0.0528140703517588,63.8513,Structure and void connected,0.378140703517588,89.3042,Void Pinched,0.0528140703517588,36.1487,Structure and void connected
0.0636934673366835,65.1162,Structure and void connected,0.386934673366834,89.9143,Void Pinched,0.0636934673366835,34.8838,Structure and void connected
0.074572864321608,66.3483,Structure and void connected,0.39572864321608,90.4753,Void Pinched,0.074572864321608,33.6517,Structure and void connected
0.0854522613065327,67.6059,Structure and void connected,0.404522613065327,90.8688,Void Pinched,0.0854522613065327,32.3941,Structure and void connected
0.0963316582914572,68.8425,Structure and void connected,0.413316582914573,91.2207,Void Pinched,0.0963316582914572,31.1575,Structure and void connected
0.107211055276382,70.059,Structure and void connected,0.422110552763819,91.4229,Void Pinched,0.107211055276382,29.941,Structure and void connected
0.118090452261307,71.2801,Structure and void connected,0.430904522613065,91.668,Void Pinched,0.118090452261307,28.7199,Structure and void connected
0.128969849246231,72.5305,Structure and void connected,0.439698492462312,91.8588,Void Pinched,0.128969849246231,27.4695,Structure and void connected
0.139849246231156,73.7491,Structure and void connected,0.448492462311558,92.0872,Void Pinched,0.139849246231156,26.2509,Structure and void connected
0.15072864321608,74.9749,Structure and void connected,0.457286432160804,92.2591,Void Pinched,0.15072864321608,25.0251,Structure and void connected
0.161608040201005,76.1918,Structure and void connected,0.46608040201005,92.4727,Void Pinched,0.161608040201005,23.8082,Structure and void connected
0.17248743718593,77.4404,Structure and void connected,0.474874371859296,92.6371,Void Pinched,0.17248743718593,22.5596,Structure and void connected
