endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-4,0,Structure Pinched,0,0.01,Structure and void connected,-4,100,Void Pinched
-3.95979899497487,0.0297,Structure Pinched,0.0201005025125628,1.307375,Structure and void connected,-3.95979899497487,99.9703,Void Pinched
-3.91959798994975,0.08025,Structure Pinched,0.0402010050251256,2.407325,Structure and void connected,-3.91959798994975,99.91975,Void Pinched
-3.87939698492462,0.145725,Structure Pinched,0.0603015075376884,3.4425,Structure and void connected,-3.87939698492462,99.854275,Void Pinched
-3.8391959798995,0.224075,Structure Pinched,0.0804020100502513,4.42715,Structure and void connected,-3.8391959798995,99.775925,Void Pinched
-3.79899497487437,0.31215,Structure Pinched,0.100502512562814,5.382,Structure and void connected,-3.79899497487437,99.68785,Void Pinched
-3.75879396984925,0.4094,Structure Pinched,0.120603015075377,6.313025,Structure and void connected,-3.75879396984925,99.5906,Void Pinched
-3.71859296482412,0.5176,Structure Pinched,0.14070351758794,7.22535,Structure and void connected,-3.71859296482412,99.4824,Void Pinched
-3.67839195979899,0.635075,Structure Pinched,0.160804020100503,8.1181,Structure and void connected,-3.67839195979899,99.364925,Void Pinched
-3.63819095477387,0.760275,Structure Pinched,0.180904522613065,8.995225,Structure and void connected,-3.63819095477387,99.239725,Void Pinched
-3.59798994974874,0.8927,Structure Pinched,0.201005025125628,9.858525,Structure and void connected,-3.59798994974874,99.1073,Void Pinched
-3.55778894472362,1.034975,Structure Pinched,0.221105527638191,10.7154,Structure and void connected,-3.55778894472362,98.965025,Void Pinched
-3.51758793969849,1.184825,Structure Pinched,0.241206030150754,11.55795,Structure and void connected,-3.51758793969849,98.815175,Void Pinched
-3.47738693467337,1.344,Structure Pinched,0.261306532663317,12.3833,Structure and void connected,-3.47738693467337,98.656,Void Pinched
-3.43718592964824,1.51045,Structure Pinched,0.281407035175879,13.203875,Structure and void connected,-3.43718592964824,98.48955,Void Pinched
-3.39698492462312,1.68435,Structure Pinched,0.301507537688442,14.0249,Structure and void connected,-3.39698492462312,98.31565,Void Pinched
-3.35678391959799,1.86585,Structure Pinched,0.321608040201005,14.825675,Structure and void connected,-3.35678391959799,98.13415,Void Pinched
-3.31658291457286,2.05595,Structure Pinched,0.341708542713568,15.6182,Structure and void connected,-3.31658291457286,97.94405,Void Pinched
-3.27638190954774,2.254175,Structure Pinched,0.361809045226131,16.413,Structure and void connected,-3.27638190954774,97.745825,Void Pinched
-3.23618090452261,2.459575,Structure Pinched,0.381909547738693,17.200125,Structure and void connected,-3.23618090452261,97.540425,Void Pinched
-3.19597989949749,2.672775,Structure Pinched,0.402010050251256,17.972425,Structure and void connected,-3.19597989949749,97.327225,Void Pinched
-3.15577889447236,2.89505,Structure Pinched,0.422110552763819,18.744525,Structure and void connected,-3.15577889447236,97.10495,Void Pinched
-3.11557788944724,3.1257,Structure Pinched,0.442211055276382,19.511775,Structure and void connected,-3.11557788944724,96.8743,Void Pinched
-3.07537688442211,3.363025,Structure Pinched,0.462311557788945,20.274375,Structure and void connected,-3.07537688442211,96.636975,Void Pinched
-3.03517587939699,3.61145,Structure Pinched,0.482412060301508,21.036825,Structure and void connected,-3.03517587939699,96.38855,Void Pinched
-2.99497487437186,3.870475,Structure Pinched,0.50251256281407,21.77755,Structure and void connected,-2.99497487437186,96.129525,Void Pinched
-2.95477386934673,4.1344,Structure Pinched,0.522613065326633,22.5265,Structure and void connected,-2.95477386934673,95.8656,Void Pinched
-2.91457286432161,4.412675,Structure Pinched,0.542713567839196,23.27575,Structure and void connected,-2.91457286432161,95.587325,Void Pinched
-2.87437185929648,4.696075,Structure Pinched,0.562814070351759,24.00775,Structure and void connected,-2.87437185929648,95.303925,Void Pinched
-2.83417085427136,4.99095,Structure Pinched,0.582914572864322,24.74515,Structure and void connected,-2.83417085427136,95.00905,Void Pinched
-2.79396984924623,5.2959,Structure Pinched,0.603015075376884,25.470375,Structure and void connected,-2.79396984924623,94.7041,Void Pinched
-2.75376884422111,5.611,Structure Pinched,0.623115577889447,26.208775,Structure and void connected,-2.75376884422111,94.389,Void Pinched
-2.71356783919598,5.9373,Structure Pinched,0.64321608040201,26.9214,Structure and void connected,-2.71356783919598,94.0627,Void Pinched
-2.67336683417085,6.273475,Structure Pinched,0.663316582914573,27.639875,Structure and void connected,-2.67336683417085,93.726525,Void Pinched
-2.63316582914573,6.627175,Structure Pinched,0.683417085427136,28.355075,Structure and void connected,-2.63316582914573,93.372825,Void Pinched
-2.5929648241206,6.987975,Structure Pinched,0.703517587939699,29.07035,Structure and void connected,-2.5929648241206,93.012025,Void Pinched
-2.55276381909548,7.367875,Structure Pinched,0.723618090452261,29.777925,Structure and void connected,-2.55276381909548,92.632125,Void Pinched
-2.51256281407035,7.7574,Structure Pinched,0.743718592964824,30.4833,Structure and void connected,-2.51256281407035,92.2426,Void Pinched
-2.47236180904523,8.163625,Structure Pinched,0.763819095477387,31.18575,Structure and void connected,-2.47236180904523,91.836375,Void Pinched
-2.4321608040201,8.588725,Structure Pinched,0.78391959798995,31.88855,Structure and void connected,-2.4321608040201,91.411275,Void Pinched
-2.39195979899498,9.0271,Structure Pinched,0.804020100502513,32.584675,Structure and void connected,-2.39195979899498,90.9729,Void Pinched
-2.35175879396985,9.49395,Structure Pinched,0.824120603015075,33.281125,Structure and void connected,-2.35175879396985,90.50605,Void Pinched
-2.31155778894472,9.972375,Structure Pinched,0.844221105527638,33.97175,Structure and void connected,-2.31155778894472,90.027625,Void Pinched
-2.2713567839196,10.500825,Structure Pinched,0.864321608040201,34.6594,Structure and void connected,-2.2713567839196,89.499175,Void Pinched
-2.23115577889447,11.0791,Structure and void connected,0.884422110552764,35.351925,Structure and void connected,-2.23115577889447,88.9209,Structure and void connected
-2.19095477386935,11.686475,Structure and void connected,0.904522613065327,36.0336,Structure and void connected,-2.19095477386935,88.313525,Structure and void connected
-2.15075376884422,12.2853,Structure and void connected,0.924623115577889,36.713475,Structure and void connected,-2.15075376884422,87.7147,Structure and void connected
-2.1105527638191,12.893475,Structure and void connected,0.944723618090452,37.393475,Structure and void connected,-2.1105527638191,87.106525,Structure and void connected
-2.07035175879397,13.4948,Structure and void connected,0.964824120603015,38.073575,Structure and void connected,-2.07035175879397,86.5052,Structure and void connected
-2.03015075376884,14.10635,Structure and void connected,0.984924623115578,38.7487,Structure and void connected,-2.03015075376884,85.89365,Structure and void connected
-1.98994974874372,14.7119,Structure and void connected,1.00502512562814,39.41765,Structure and void connected,-1.98994974874372,85.2881,Structure and void connected
-1.94974874371859,15.32315,Structure and void connected,1.0251256281407,40.0894,Structure and void connected,-1.94974874371859,84.67685,Structure and void connected
-1.90954773869347,15.934775,Structure and void connected,1.04522613065327,40.7575,Structure and void connected,-1.90954773869347,84.065225,Structure and void connected
-1.86934673366834,16.550775,Structure and void connected,1.06532663316583,41.430275,Structure and void connected,-1.86934673366834,83.449225,Structure and void connected
