endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-12,0.0001,Structure Pinched,0,0,Structure and void connected,-12,99.9999,Void Pinched
-11.9095477386935,0.0086,Structure Pinched,0.0603015075376884,1.2018,Structure and void connected,-11.9095477386935,99.9914,Void Pinched
-11.8190954773869,0.0217,Structure Pinched,0.120603015075377,2.4042,Structure and void connected,-11.8190954773869,99.9783,Void Pinched
-11.7286432160804,0.0389,Structure Pinched,0.180904522613065,3.5798,Structure and void connected,-11.7286432160804,99.9611,Void Pinched
-11.6381909547739,0.0574,Structure Pinched,0.241206030150754,4.7984,Structure and void connected,-11.6381909547739,99.9426,Void Pinched
-11.5477386934673,0.08,Structure Pinched,0.301507537688442,5.9831,Structure and void connected,-11.5477386934673,99.92,Void Pinched
-11.4572864321608,0.1047,Structure Pinched,0.361809045226131,7.1903,Structure and void connected,-11.4572864321608,99.8953,Void Pinched
-11.3668341708543,0.1311,Structure Pinched,0.422110552763819,8.4019,Structure and void connected,-11.3668341708543,99.8689,Void Pinched
-11.2763819095477,0.1597,Structure Pinched,0.482412060301508,9.6022,Structure and void connected,-11.2763819095477,99.8403,Void Pinched
-11.1859296482412,0.1892,Structure Pinched,0.542713567839196,10.7683,Structure and void connected,-11.1859296482412,99.8108,Void Pinched
-11.0954773869347,0.2232,Structure Pinched,0.603015075376884,11.9992,Structure and void connected,-11.0954773869347,99.7768,Void Pinched
-11.0050251256281,0.256,Structure Pinched,0.663316582914573,13.1894,Structure and void connected,-11.0050251256281,99.744,Void Pinched
-10.9145728643216,0.2923,Structure Pinched,0.723618090452261,14.394,Structure and void connected,-10.9145728643216,99.7077,Void Pinched
-10.8241206030151,0.329,Structure Pinched,0.78391959798995,15.6003,Structure and void connected,-10.8241206030151,99.671,Void Pinched
-10.7336683417085,0.3678,Structure Pinched,0.844221105527638,16.8081,Structure and void connected,-10.7336683417085,99.6322,Void Pinched
-10.643216080402,0.4098,Structure Pinched,0.904522613065327,18.0189,Structure and void connected,-10.643216080402,99.5902,Void Pinched
-10.5527638190955,0.4525,Structure Pinched,0.964824120603015,19.2254,Structure and void connected,-10.5527638190955,99.5475,Void Pinched
-10.4623115577889,0.4942,Structure Pinched,1.0251256281407,20.4305,Structure and void connected,-10.4623115577889,99.5058,Void Pinched
-10.3718592964824,0.5387,Structure Pinched,1.08542713567839,21.6428,Structure and void connected,-10.3718592964824,99.4613,Void Pinched
-10.2814070351759,0.5888,Structure Pinched,1.14572864321608,22.8746,Structure and void connected,-10.2814070351759,99.4112,Void Pinched
-10.1909547738693,0.6372,Structure Pinched,1.20603015075377,24.0675,Structure and void connected,-10.1909547738693,99.3628,Void Pinched
-10.1005025125628,0.687,Structure Pinched,1.26633165829146,25.2907,Structure and void connected,-10.1005025125628,99.313,Void Pinched
-10.0100502512563,0.739,Structure Pinched,1.32663316582915,26.5123,Structure and void connected,-10.0100502512563,99.261,Void Pinched
-9.91959798994975,0.7906,Structure Pinched,1.38693467336683,27.7243,Structure and void connected,-9.91959798994975,99.2094,Void Pinched
-9.82914572864322,0.8444,Structure Pinched,1.44723618090452,28.9472,Structure and void connected,-9.82914572864322,99.1556,Void Pinched
