endo_LVL,endo_VF,endo_Connectivity,surf_LVL,surf_VF,surf_Connectivity,exo_LVL,exo_VF,exo_Connectivity
-4,0,Structure Pinched,0,1.4663,Structure and void connected,-4,100,Void Pinched
-3.95979899497487,0.0165,Structure Pinched,0.0201005025125628,12.5644,Void Pinched,-3.95979899497487,99.9835,Void Pinched
-3.91959798994975,0.0432,Structure Pinched,0.0402010050251256,16.9882,Void Pinched,-3.91959798994975,99.9568,Void Pinched
-3.87939698492462,0.0798,Structure Pinched,0.0603015075376884,20.4616,Void Pinched,-3.87939698492462,99.9202,Void Pinched
-3.8391959798995,0.1203,Structure Pinched,0.0804020100502513,23.4244,Void Pinched,-3.8391959798995,99.8797,Void Pinched
-3.79899497487437,0.168,Structure Pinched,0.100502512562814,26.0764,Void Pinched,-3.79899497487437,99.832,Void Pinched
-3.75879396984925,0.2199,Structure Pinched,0.120603015075377,28.4704,Void Pinched,-3.75879396984925,99.7801,Void Pinched
-3.71859296482412,0.2775,Structure Pinched,0.14070351758794,30.5458,Void Pinched,-3.71859296482412,99.7225,Void Pinched
-3.67839195979899,0.3384,Structure Pinched,0.160804020100503,32.3428,Void Pinched,-3.67839195979899,99.6616,Void Pinched
-3.63819095477387,0.4053,Structure Pinched,0.180904522613065,34.0456,Void Pinched,-3.63819095477387,99.5947,Void Pinched
-3.59798994974874,0.4755,Structure Pinched,0.201005025125628,35.6932,Void Pinched,-3.59798994974874,99.5245,Void Pinched
-3.55778894472362,0.546,Structure Pinched,0.221105527638191,37.2316,Void Pinched,-3.55778894472362,99.454,Void Pinched
-3.51758793969849,0.6279,Structure Pinched,0.241206030150754,38.737,Void Pinched,-3.51758793969849,99.3721,Void Pinched
-3.47738693467337,0.7128,Structure Pinched,0.261306532663317,40.18,Void Pinched,-3.47738693467337,99.2872,Void Pinched
-3.43718592964824,0.7968,Structure Pinched,0.281407035175879,41.425,Void Pinched,-3.43718592964824,99.2032,Void Pinched
-3.39698492462312,0.8871,Structure Pinched,0.301507537688442,42.6388,Void Pinched,-3.39698492462312,99.1129,Void Pinched
-3.35678391959799,0.9798,Structure Pinched,0.321608040201005,43.8262,Void Pinched,-3.35678391959799,99.0202,Void Pinched
-3.31658291457286,1.0812,Structure Pinched,0.341708542713568,44.9968,Void Pinched,-3.31658291457286,98.9188,Void Pinched
-3.27638190954774,1.1814,Structure Pinched,0.361809045226131,46.117,Void Pinched,-3.27638190954774,98.8186,Void Pinched
-3.23618090452261,1.2834,Structure Pinched,0.381909547738693,47.224,Void Pinched,-3.23618090452261,98.7166,Void Pinched
-3.19597989949749,1.3971,Structure Pinched,0.402010050251256,48.2422,Void Pinched,-3.19597989949749,98.6029,Void Pinched
-3.15577889447236,1.5084,Structure Pinched,0.422110552763819,49.2076,Void Pinched,-3.15577889447236,98.4916,Void Pinched
-3.11557788944724,1.6275,Structure Pinched,0.442211055276382,50.1526,Void Pinched,-3.11557788944724,98.3725,Void Pinched
-3.07537688442211,1.7463,Structure Pinched,0.462311557788945,51.073,Void Pinched,-3.07537688442211,98.2537,Void Pinched
-3.03517587939699,1.8735,Structure Pinched,0.482412060301508,51.9706,Void Pinched,-3.03517587939699,98.1265,Void Pinched
-2.99497487437186,1.9965,Structure Pinched,0.50251256281407,52.873,Void Pinched,-2.99497487437186,98.0035,Void Pinched
-2.95477386934673,2.1363,Structure Pinched,0.522613065326633,53.7652,Void Pinched,-2.95477386934673,97.8637,Void Pinched
-2.91457286432161,2.2707,Structure Pinched,0.542713567839196,54.5614,Void Pinched,-2.91457286432161,97.7293,Void Pinched
-2.87437185929648,2.4126,Structure Pinched,0.562814070351759,55.3564,Void Pinched,-2.87437185929648,97.5874,Void Pinched
-2.83417085427136,2.5587,Structure Pinched,0.582914572864322,56.1322,Void Pinched,-2.83417085427136,97.4413,Void Pinched
-2.79396984924623,2.7057,Structure Pinched,0.603015075376884,56.8876,Void Pinched,-2.79396984924623,97.2943,Void Pinched
-2.75376884422111,2.8587,Structure Pinched,0.623115577889447,57.6544,Void Pinched,-2.75376884422111,97.1413,Void Pinched
-2.71356783919598,3.0117,Structure Pinched,0.64321608040201,58.4104,Void Pinched,-2.71356783919598,96.9883,Void Pinched
-2.67336683417085,3.1785,Structure Pinched,0.663316582914573,59.1088,Void Pinched,-2.67336683417085,96.8215,Void Pinched
-2.63316582914573,3.3414,Structure Pinched,0.683417085427136,59.7892,Void Pinched,-2.63316582914573,96.6586,Void Pinched
-2.5929648241206,3.5163,Structure Pinched,0.703517587939699,60.4558,Void Pinched,-2.5929648241206,96.4837,Void Pinched
-2.55276381909548,3.6888,Structure Pinched,0.723618090452261,61.1296,Void Pinched,-2.55276381909548,96.3112,Void Pinched
-2.51256281407035,3.8649,Structure Pinched,0.743718592964824,61.7812,Void Pinched,-2.51256281407035,96.1351,Void Pinched
-2.47236180904523,4.0548,Structure Pinched,0.763819095477387,62.437,Void Pinched,-2.47236180904523,95.9452,Void Pinched
-2.4321608040201,4.2369,Structure Pinched,0.78391959798995,63.0766,Void Pinched,-2.4321608040201,95.7631,Void Pinched
-2.39195979899498,4.4355,Structure Pinched,0.804020100502513,63.6688,Void Pinched,-2.39195979899498,95.5645,Void Pinched
-2.35175879396985,4.6338,Structure Pinched,0.824120603015075,64.2568,Void Pinched,-2.35175879396985,95.3662,Void Pinched
-2.31155778894472,4.8372,Structure Pinched,0.844221105527638,64.8334,Void Pinched,-2.31155778894472,95.1628,Void Pinched
-2.2713567839196,5.0466,Structure Pinched,0.864321608040201,65.4154,Void Pinched,-2.2713567839196,94.9534,Void Pinched
-2.23115577889447,5.2608,Structure Pinched,0.884422110552764,66.007,Void Pinched,-2.23115577889447,94.7392,Void Pinched
-2.19095477386935,5.484,Structure Pinched,0.904522613065327,66.5776,Void Pinched,-2.19095477386935,94.516,Void Pinched
-2.15075376884422,5.7063,Structure Pinched,0.924623115577889,67.111,Void Pinched,-2.15075376884422,94.2937,Void Pinched
-2.1105527638191,5.9322,Structure Pinched,0.944723618090452,67.627,Void Pinched,-2.1105527638191,94.0678,Void Pinched
-2.07035175879397,6.1734,Structure Pinched,0.964824120603015,68.1466,Void Pinched,-2.07035175879397,93.8266,Void Pinched
-2.03015075376884,6.423,Structure Pinched,0.984924623115578,68.6752,Void Pinched,-2.03015075376884,93.577,Void Pinched
-1.98994974874372,6.6627,Structure Pinched,1.00502512562814,69.1786,Void Pinched,-1.98994974874372,93.3373,Void Pinched
-1.94974874371859,6.9231,Structure Pinched,1.0251256281407,69.6964,Void Pinched,-1.94974874371859,93.0769,Void Pinched
-1.90954773869347,7.1841,Structure Pinched,1.04522613065327,70.1902,Void Pinched,-1.90954773869347,92.8159,Void Pinched
-1.86934673366834,7.4481,Structure Pinched,1.06532663316583,70.6552,Void Pinched,-1.86934673366834,92.5519,Void Pinched
-1.82914572864322,7.7238,Structure Pinched,1.08542713567839,71.1256,Void Pinched,-1.82914572864322,92.2762,Void Pinched
-1.78894472361809,8.0073,Structure Pinched,1.10552763819095,71.5948,Void Pinched,-1.78894472361809,91.9927,Void Pinched
-1.74874371859296,8.2965,Structure Pinched,1.12562814070352,72.0418,Void Pinched,-1.74874371859296,91.7035,Void Pinched
-1.70854271356784,8.5989,Structure Pinched,1.14572864321608,72.5182,Void Pinched,-1.70854271356784,91.4011,Void Pinched
-1.66834170854271,8.9046,Structure Pinched,1.16582914572864,72.9718,Void Pinched,-1.66834170854271,91.0954,Void Pinched
-1.62814070351759,9.2136,Structure Pinched,1.18592964824121,73.402,Void Pinched,-1.62814070351759,90.7864,Void Pinched
-1.58793969849246,9.5415,Structure Pinched,1.20603015075377,73.816,Void Pinched,-1.58793969849246,90.4585,Void Pinched
-1.54773869346734,9.8676,Structure Pinched,1.22613065326633,74.2438,Void Pinched,-1.54773869346734,90.1324,Void Pinched
-1.50753768844221,10.2072,Structure Pinched,1.24623115577889,74.6572,Void Pinched,-1.50753768844221,89.7928,Void Pinched
-1.46733668341709,10.5606,Structure Pinched,1.26633165829146,75.0808,Void Pinched,-1.46733668341709,89.4394,Void Pinched
-1.42713567839196,10.9161,Structure Pinched,1.28643216080402,75.4942,Void Pinched,-1.42713567839196,89.0839,Void Pinched
-1.38693467336683,11.2866,Structure Pinched,1.30653266331658,75.883,Void Pinched,-1.38693467336683,88.7134,Void Pinched
-1.34673366834171,11.673,Structure Pinched,1.32663316582915,76.2706,Void Pinched,-1.34673366834171,88.327,Void Pinched
-1.30653266331658,12.0585,Structure Pinched,1.34673366834171,76.654,Void Pinched,-1.30653266331658,87.9415,Void Pinched
-1.26633165829146,12.4596,Structure Pinched,1.36683417085427,77.041,Void Pinched,-1.26633165829146,87.5404,Void Pinched
-1.22613065326633,12.8781,Structure Pinched,1.38693467336683,77.4268,Void Pinched,-1.22613065326633,87.1219,Void Pinched
-1.18592964824121,13.299,Structure Pinched,1.4070351758794,77.8144,Void Pinched,-1.18592964824121,86.701,Void Pinched
-1.14572864321608,13.7409,Structure Pinched,1.42713567839196,78.1678,Void Pinched,-1.14572864321608,86.2591,Void Pinched
-1.10552763819095,14.2026,Structure Pinched,1.44723618090452,78.52,Void Pinched,-1.10552763819095,85.7974,Void Pinched
-1.06532663316583,14.6724,Structure Pinched,1.46733668341709,78.8788,Void Pinched,-1.06532663316583,85.3276,Void Pinched
-1.0251256281407,15.1518,Structure Pinched,1.48743718592965,79.2358,Void Pinched,-1.0251256281407,84.8482,Void Pinched
-0.984924623115578,15.6624,Structure Pinched,1.50753768844221,79.5856,Void Pinched,-0.984924623115578,84.3376,Void Pinched
-0.944723618090452,16.1865,Structure Pinched,1.52763819095477,79.9378,Void Pinched,-0.944723618090452,83.8135,Void Pinched
-0.904522613065327,16.7112,Structure Pinched,1.54773869346734,80.2648,Void Pinched,-0.904522613065327,83.2888,Void Pinched
-0.864321608040201,17.2923,Structure Pinched,1.5678391959799,80.602,Void Pinched,-0.864321608040201,82.7077,Void Pinched
-0.824120603015075,17.8716,Structure Pinched,1.58793969849246,80.917,Void Pinched,-0.824120603015075,82.1284,Void Pinched
-0.78391959798995,18.4617,Structure Pinched,1.60804020100503,81.2452,Void Pinched,-0.78391959798995,81.5383,Void Pinched
-0.743718592964824,19.1094,Structure Pinched,1.62814070351759,81.5728,Void Pinched,-0.743718592964824,80.8906,Void Pinched
-0.703517587939699,19.7721,Structure Pinched,1.64824120603015,81.8914,Void Pinched,-0.703517587939699,80.2279,Void Pinched
